timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1523946830545441,1,20,38,35,35,10,15,9
1523946830545441,-1,-18,-22,-31,-15,-7,-12,-5
1523946830546445,0,-8,-24,-8,-16,5,-7,-9
1523946830546445,-2,12,19,12,16,21,10,7
1523946830547448,-1,-5,0,-8,23,12,1,2
1523946830547448,-4,-10,-23,-20,-45,-23,-14,-10
1523946830548449,2,10,18,20,11,-2,7,8
1523946830548449,0,5,18,10,35,-7,5,4
1523946830559477,-3,-15,-26,-22,-20,4,-8,-9
1523946830559477,1,10,11,24,10,17,8,0
1523946830567501,-2,7,17,3,-11,0,4,1
1523946830567501,0,-13,-24,-24,-30,-19,-12,-7
1523946830573516,0,-6,-14,-2,-5,-2,-4,-5
1523946830573516,2,8,17,7,27,3,7,4
1523946830588560,1,-6,-4,-7,-7,-10,-2,1
1523946830588560,-2,-10,-18,-13,-28,4,-10,-8
1523946830597581,1,7,8,4,2,-12,4,4
1523946830597581,0,6,12,11,18,14,3,0
1523946830603595,-5,-9,-17,-17,-27,-6,-6,-6
1523946830603595,-3,2,2,13,19,-3,-3,-4
1523946830619637,-2,1,6,4,2,2,8,2
1523946830619637,-3,-7,-10,-11,-19,-11,-8,-5
1523946830626656,0,0,-1,4,15,18,1,2
1523946830626656,3,3,10,6,3,11,4,2
1523946830666763,-4,-12,-12,-26,-7,-16,-11,-5
1523946830666763,1,-20,-43,-30,-40,1,-11,-9
1523946830667765,0,12,20,16,3,-25,2,3
1523946830667765,1,2,13,-5,7,21,8,5
1523946830668768,-2,-11,-25,-3,-20,-23,-15,-10
1523946830668768,-2,9,16,16,11,-3,7,-2
1523946830670773,-2,10,25,18,71,28,17,9
1523946830670773,-1,-12,-28,-19,-68,3,-16,-9
1523946830678796,-1,1,-1,6,32,-6,-3,-1
1523946830678796,0,10,19,9,13,-2,5,5
1523946830685822,-2,-12,-21,-23,-37,-11,-14,-6
1523946830685822,-4,-10,-20,-13,-12,-11,-8,-8
1523946830693835,2,12,19,19,15,34,20,11
1523946830693835,-2,0,4,-3,-10,-26,-6,-1
1523946830707872,-4,-12,-20,-18,-21,21,-9,-7
1523946830707872,4,12,12,15,11,-2,4,2
1523946830716898,-2,4,12,12,29,0,4,3
1523946830716898,-1,-9,-14,-12,6,6,-2,-4
1523946830722912,-1,-1,-4,0,-49,-16,-4,-3
1523946830722912,-1,3,14,15,39,10,5,2
1523946830738957,-2,-7,-15,-12,-24,2,-7,-3
1523946830738957,-1,-5,-8,-7,-10,-13,-7,-3
1523946830745974,0,5,9,2,-2,-10,0,-1
1523946830745974,-3,-4,-3,-4,11,20,8,2
1523946830752994,1,-5,-8,-5,-5,-10,-6,-2
1523946830752994,-1,2,2,1,-14,-2,-2,2
1523946830768036,-1,-2,-3,5,17,13,2,-1
1523946830768036,-3,-6,-11,-6,-9,-38,-11,-7
1523946830776053,0,7,11,10,-11,30,12,5
1523946830776053,0,0,4,10,26,1,-3,0
1523946830783074,-2,-8,-16,-8,5,2,2,1
1523946830783074,0,-4,-5,-5,-47,-9,-10,-4
1523946830799117,-5,-4,-4,-1,18,-5,6,-2
1523946830799117,0,-2,-3,-7,-11,4,-2,1
1523946830806135,4,-5,-6,-1,0,-1,-3,-2
1523946830806135,-2,-2,0,-4,19,6,4,0
1523946830813152,-2,4,2,-3,-19,-15,-8,-1
1523946830813152,-1,-2,1,-1,-6,8,0,-1
1523946830828193,-1,0,3,5,13,-3,-1,-1
1523946830828193,0,2,4,4,7,4,7,4
1523946830836214,-2,-5,-9,-7,-19,-6,-10,-9
