timestamp,x,y,z
1523946830377995,-1.4375,4.75,-1.75
1523946830402066,-4.4375,4.75,-2.5625
1523946830418103,-3.5,4.25,-2.75
1523946830438163,-1.5625,3.375,-3
1523946830462219,-0.625,2.625,-3.0625
1523946830477258,0.1875,1.625,-3.125
1523946830498321,-0.3125,0,-3.3125
1523946830538422,-0.8125,-1.8125,-3.25
1523946830540428,-1,-3.25,-3.6875
1523946830560479,-0.4375,-4.6875,-3.875
1523946830582539,0.5625,-6.0625,-5
1523946830599584,3.25,-7.9375,-5.9375
1523946830620645,4.3125,-9.25,-5.9375
1523946830655733,4.0625,-9.75,-6.3125
1523946830665761,3.625,-9.8125,-6.875
1523946830679799,2.75,-11,-7
1523946830700854,2.8125,-11.9375,-6.25
1523946830717901,3.5,-11.6875,-3.9375
1523946830739959,5.0625,-8.6875,-2.5
1523946830761016,4.4375,-5.8125,3.5625
1523946830777057,9.125,-3.125,4.875
1523946830800118,4.0625,-2.25,7.9375
1523946830821174,3.6875,-0.25,11.5625
1523946830837216,2.4375,3.6875,12.9375
1523946830860276,0,7.9375,14.3125
1523946830881333,0.375,11.9375,14.1875
1523946830897378,-0.1875,15,13.875
1523946830926453,-0.1875,15.9375,11.8125
1523946830940492,-0.125,17.25,10.5
1523946830957536,0.75,18.1875,9.75
1523946830979595,-0.25,17.8125,8.0625
1523946831000656,-4.0625,17,5.75
1523946831017702,-7.125,15.75,2.875
1523946831039753,-7.375,13.75,0.3125
1523946831060811,-7.5,11.875,-1.3125
1523946831077856,-7,10.9375,-3.875
1523946831099915,-8.1875,9.4375,-5.5
1523946831120971,-7.9375,7.6875,-6.625
1523946831137013,-7.9375,4.5625,-8.125
1523946831160075,-6.4375,1.1875,-9.25
1523946831181132,-4.6875,-2.0625,-10.1875
1523946831197173,-3.0625,-5,-9.875
1523946831220237,-2.6875,-7.0625,-9.4375
1523946831241289,-0.75,-8.3125,-7.75
1523946831257332,2.8125,-8.75,-5.3125
1523946831280396,6.75,-8.6875,-3.25
1523946831302456,8.9375,-8.8125,-1.875
1523946831317495,8.0625,-8.625,-0.25
1523946831339553,6.25,-8.375,0.375
1523946831362620,7.5,-8.0625,1.25
1523946831377653,12.8125,-7.1875,1.25
1523946831399712,16,-6.6875,2.125
1523946831422773,13.9375,-5.6875,2.375
1523946831437813,11.25,-5.25,2.875
1523946831459871,9.625,-5.6875,1.75
1523946831481929,7.6875,-5.125,0.5
1523946831496974,9.8125,-5.75,0.75
1523946831520034,14.0625,-6.375,0.5
1523946831542088,11.9375,-5.5,0.9375
1523946831557129,7.0625,-4.3125,1
1523946831580192,4.75,-4.25,0.875
1523946831602250,5.75,-4.125,1.5
1523946831623306,8.6875,-3.125,2.875
1523946831640351,10.25,-2.4375,2.1875
1523946831662411,8.5625,-1.75,2.875
1523946831684471,9.6875,-1.3125,2.25
1523946831699509,11.8125,-1.125,1.9375
1523946831722570,13.1875,-0.3125,0.1875
1523946831743626,9,0.125,-1.25
1523946831759668,0.1875,2.6875,-1.8125
1523946831782731,-1.5625,5.6875,-0.375
1523946831803789,-0.9375,6.1875,-1.375
1523946831819828,-1.0625,4.4375,-1.6875
1523946831841889,-3.5,2.1875,-1.125
1523946831863946,-5.6875,1.125,-1.6875
1523946831879990,-4.8125,0.375,-2.8125
1523946831902048,0.6875,-1.6875,-1.25
1523946831923103,1.5,-1.5625,-0.6875
1523946831940148,-1.0625,-1.25,-0.75
1523946831962219,0.1875,-1.25,0.25
1523946831983265,1.4375,-1.5,0.4375
1523946832000310,2.5,0.0625,0.1875
1523946832022366,7.0625,-0.6875,-0.5
1523946832043423,8.3125,-1,-1.75
1523946832059465,8.9375,-1.375,-0.8125
1523946832082527,10,-1.5625,0.875
1523946832103588,6.5,-1.5625,1.25
1523946832119625,3.3125,-3.25,2.75
1523946832142686,7.375,-5.875,3.8125
1523946832163743,15.375,-7,2.875
1523946832179788,15.6875,-6.4375,2.3125
1523946832201845,10.875,-5.5625,3.25
1523946832223902,4.8125,-6.25,3.6875
1523946832238943,4.3125,-7.375,2.5625
1523946832262008,6.75,-6.6875,-0.0625
1523946832285068,8.125,-5.0625,-2.8125
1523946832299102,5.6875,-4,-4.25
1523946832321168,-0.375,-3.375,-4.875
1523946832344224,-4.3125,-3.3125,-4
1523946832359263,-1,-2.6875,-4.125
1523946832381323,6,-2.5625,-2.0625
1523946832404384,7.75,-2.9375,-0.125
1523946832421427,3.25,-3.125,1
1523946832441481,0.5,-3.25,2.125
1523946832464543,5.0625,-4.625,1.6875
1523946832480587,10.875,-3.875,0.625
1523946832501644,10.5625,-3.125,1.8125
1523946832523699,10.6875,-4.75,2.4375
1523946832540745,11.8125,-4.875,1.125
1523946832561808,14.8125,-3.5625,-1.8125
1523946832583864,16.5625,-2.625,-3.9375
1523946832600905,14.375,-2.4375,-4.5
1523946832621961,14.9375,-1.875,-4.4375
1523946832644020,12.6875,0.3125,-6.1875
1523946832660062,10.0625,1.625,-6.4375
1523946832682121,10.4375,2.125,-5.625
1523946832704180,8.4375,2.625,-6.5625
1523946832720222,9.5,2.375,-8.0625
1523946832741278,12.625,1.875,-8.0625
